지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2016-01-01,56
108,서울,2016-01-02,42
108,서울,2016-01-03,86
108,서울,2016-01-04,73
108,서울,2016-01-05,31
108,서울,2016-01-06,49
108,서울,2016-01-07,40
108,서울,2016-01-08,33
108,서울,2016-01-09,39
108,서울,2016-01-10,28
108,서울,2016-01-11,41
108,서울,2016-01-12,49
108,서울,2016-01-13,35
108,서울,2016-01-14,42
108,서울,2016-01-15,42
108,서울,2016-01-16,57
108,서울,2016-01-17,62
108,서울,2016-01-18,63
108,서울,2016-01-19,45
108,서울,2016-01-20,35
108,서울,2016-01-21,47
108,서울,2016-01-22,49
108,서울,2016-01-23,32
108,서울,2016-01-24,37
108,서울,2016-01-25,48
108,서울,2016-01-26,72
108,서울,2016-01-27,55
108,서울,2016-01-28,44
108,서울,2016-01-29,36
108,서울,2016-01-30,41
108,서울,2016-01-31,38
108,서울,2016-02-01,39
108,서울,2016-02-02,42
108,서울,2016-02-03,51
108,서울,2016-02-04,50
108,서울,2016-02-05,41
108,서울,2016-02-06,47
108,서울,2016-02-07,42
108,서울,2016-02-08,65
108,서울,2016-02-09,46
108,서울,2016-02-10,31
108,서울,2016-02-11,36
108,서울,2016-02-12,26
108,서울,2016-02-13,12
108,서울,2016-02-14,27
108,서울,2016-02-15,33
108,서울,2016-02-16,28
108,서울,2016-02-17,39
108,서울,2016-02-18,43
108,서울,2016-02-19,71
108,서울,2016-02-20,41
108,서울,2016-02-21,25
108,서울,2016-02-22,44
108,서울,2016-02-23,50
108,서울,2016-02-24,35
108,서울,2016-02-25,54
108,서울,2016-02-26,49
108,서울,2016-02-27,59
108,서울,2016-02-28,37
108,서울,2016-03-01,31
108,서울,2016-03-02,36
108,서울,2016-03-03,51
108,서울,2016-03-04,56
108,서울,2016-03-06,89
108,서울,2016-03-07,103
108,서울,2016-03-08,72
108,서울,2016-03-09,43
108,서울,2016-03-10,35
108,서울,2016-03-11,34
108,서울,2016-03-12,43
108,서울,2016-03-13,53
108,서울,2016-03-14,58
108,서울,2016-03-16,55
108,서울,2016-03-17,66
108,서울,2016-03-18,53
108,서울,2016-03-19,68
108,서울,2016-03-20,75
108,서울,2016-03-21,80
108,서울,2016-03-22,65
108,서울,2016-03-23,70
108,서울,2016-03-24,39
108,서울,2016-03-25,64
108,서울,2016-03-26,61
108,서울,2016-03-27,62
108,서울,2016-03-28,64
108,서울,2016-03-29,99
108,서울,2016-03-30,84
108,서울,2016-03-31,48
108,서울,2016-04-01,68
108,서울,2016-04-02,77
108,서울,2016-04-03,37
108,서울,2016-04-04,29
108,서울,2016-04-05,61
108,서울,2016-04-06,67
108,서울,2016-04-07,35
108,서울,2016-04-08,69
108,서울,2016-04-09,103
108,서울,2016-04-10,112
108,서울,2016-04-11,44
108,서울,2016-04-12,51
108,서울,2016-04-13,47
108,서울,2016-04-14,51
108,서울,2016-04-15,50
108,서울,2016-04-16,43
108,서울,2016-04-17,57
108,서울,2016-04-18,59
108,서울,2016-04-19,42
108,서울,2016-04-20,57
108,서울,2016-04-21,22
108,서울,2016-04-22,69
108,서울,2016-04-23,182
108,서울,2016-04-24,132
108,서울,2016-04-25,69
108,서울,2016-04-26,70
108,서울,2016-04-27,44
108,서울,2016-04-28,55
108,서울,2016-04-29,59
108,서울,2016-04-30,64
108,서울,2016-05-01,41
108,서울,2016-05-02,43
108,서울,2016-05-03,20
108,서울,2016-05-04,57
108,서울,2016-05-05,52
108,서울,2016-05-06,43
108,서울,2016-05-08,46
108,서울,2016-05-09,52
108,서울,2016-05-10,24
108,서울,2016-05-11,26
108,서울,2016-05-12,37
108,서울,2016-05-13,37
108,서울,2016-05-14,32
108,서울,2016-05-15,36
108,서울,2016-05-16,37
108,서울,2016-05-17,58
108,서울,2016-05-18,41
108,서울,2016-05-19,35
108,서울,2016-05-20,43
108,서울,2016-05-21,33
108,서울,2016-05-22,47
108,서울,2016-05-23,59
108,서울,2016-05-24,32
108,서울,2016-05-25,81
108,서울,2016-05-26,88
108,서울,2016-05-27,69
108,서울,2016-05-28,70
108,서울,2016-05-29,73
108,서울,2016-05-30,86
108,서울,2016-05-31,67
108,서울,2016-06-01,36
108,서울,2016-06-02,35
108,서울,2016-06-03,46
108,서울,2016-06-04,46
108,서울,2016-06-05,44
108,서울,2016-06-06,19
108,서울,2016-06-07,37
108,서울,2016-06-08,37
108,서울,2016-06-09,46
108,서울,2016-06-10,54
108,서울,2016-06-11,40
108,서울,2016-06-12,24
108,서울,2016-06-13,55
108,서울,2016-06-14,46
108,서울,2016-06-15,28
108,서울,2016-06-17,53
108,서울,2016-06-18,58
108,서울,2016-06-19,33
108,서울,2016-06-20,48
108,서울,2016-06-21,55
108,서울,2016-06-23,40
108,서울,2016-06-24,35
108,서울,2016-06-25,36
108,서울,2016-06-26,28
108,서울,2016-06-27,33
108,서울,2016-06-28,55
108,서울,2016-06-29,35
108,서울,2016-06-30,30
108,서울,2016-07-03,34
108,서울,2016-07-05,12
108,서울,2016-07-06,16
108,서울,2016-07-07,37
108,서울,2016-07-08,45
108,서울,2016-07-09,33
108,서울,2016-07-10,31
108,서울,2016-07-11,45
108,서울,2016-07-12,26
108,서울,2016-07-13,28
108,서울,2016-07-14,28
108,서울,2016-07-15,15
108,서울,2016-07-16,9
108,서울,2016-07-17,12
108,서울,2016-07-18,25
108,서울,2016-07-19,31
108,서울,2016-07-20,32
108,서울,2016-07-21,26
108,서울,2016-07-22,30
108,서울,2016-07-23,35
108,서울,2016-07-24,29
108,서울,2016-07-25,35
108,서울,2016-07-26,29
108,서울,2016-07-27,28
108,서울,2016-07-28,47
108,서울,2016-07-30,31
108,서울,2016-07-31,27
108,서울,2016-08-01,26
108,서울,2016-08-02,23
108,서울,2016-08-03,28
108,서울,2016-08-04,25
108,서울,2016-08-05,33
108,서울,2016-08-06,47
108,서울,2016-08-07,29
108,서울,2016-08-08,34
108,서울,2016-08-09,28
108,서울,2016-08-10,44
